0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
0	42,5812	79,7291	73,8729	53,1412	43,376	21,9396	7,42808	53,562	89,7633	120,6	108,135	36,7445	53,3849	79,4601	138,716
42,5812	0	59,0389	91,1274	92,3717	78,9235	30,1554	42,2296	25,0132	64,8502	79,8458	67,5163	79,2011	14,8255	79,718	112,924
79,7291	59,0389	0	68,8322	105,309	88,7072	82,1491	73,8406	34,0274	118,548	106,218	97,1742	110,451	46,5001	39,1051	162,057
73,8729	91,1274	68,8322	0	56,8182	44,9106	92,0832	66,8123	76,8912	154,639	164,266	153,061	80,7564	89,0316	33,1686	203,583
53,1412	92,3717	105,309	56,8182	0	16,606	74,7655	50,7172	93,407	142,224	172,124	159,726	32,5102	99,1738	83,0215	190,588
43,376	78,9235	88,7072	44,9106	16,606	0	65,2701	39,134	77,7108	133,049	158,723	146,43	36,3139	84,3994	67,7762	182,083
21,9396	30,1554	82,1491	92,0832	74,7655	65,2701	0	26,8481	50,2218	67,8237	101,868	89,4638	53,8318	44,3501	91,5241	116,816
7,42808	42,2296	73,8406	66,8123	50,7172	39,134	26,8481	0	49,6824	94,1653	121,587	109,156	39,2288	51,3282	72,1013	143,371
53,562	25,0132	34,0274	76,8912	93,407	77,7108	50,2218	49,6824	0	86,8469	87,3934	76,195	88,8779	13,9552	58,6784	132,88
89,7633	64,8502	118,548	154,639	142,224	133,049	67,8237	94,1653	86,8469	0	59,8906	51,8672	117,339	72,9965	144,384	49,3384
120,6	79,8458	106,218	164,266	172,124	158,723	101,868	121,587	87,3934	59,8906	0	12,4657	155,628	76,1885	142,593	73,0024
108,135	67,5163	97,1742	153,061	159,726	146,43	89,4638	109,156	76,195	51,8672	12,4657	0	143,197	64,477	132,499	73,4915
36,7445	79,2011	110,451	80,7564	32,5102	36,3139	53,8318	39,2288	88,8779	117,339	155,628	143,197	0	90,0186	99,0748	164,009
53,3849	14,8255	46,5001	89,0316	99,1738	84,3994	44,3501	51,3282	13,9552	72,9965	76,1885	64,477	90,0186	0	72,5182	118,947
79,4601	79,718	39,1051	33,1686	83,0215	67,7762	91,5241	72,1013	58,6784	144,384	142,593	132,499	99,0748	72,5182	0	191,393
138,716	112,924	162,057	203,583	190,588	182,083	116,816	143,371	132,88	49,3384	73,0024	73,4915	164,009	118,947	191,393	0
